341	191	224	138
343	189	226	139
345	187	228	140
348	184	229	141
350	182	231	143
352	180	233	144
354	178	234	145
359	175	233	146
365	173	231	147
370	171	229	148
376	169	227	149
387	174	221	144
394	175	222	143
401	175	223	142
407	176	224	141
414	177	225	140
421	178	218	139
428	179	211	138
429	179	210	136
430	179	209	133
431	179	208	131
431	179	207	128
433	177	205	127
435	175	204	127
437	174	202	126
435	169	203	128
435	169	204	128
434	169	204	128
434	169	205	127
429	168	210	127
424	168	215	128
419	167	220	128
416	167	222	130
414	168	225	132
411	168	227	135
410	167	229	133
408	167	230	132
407	166	232	130
406	164	232	130
406	163	233	129
410	165	228	128
415	167	223	126
420	169	218	124
425	171	213	122
430	173	208	121
434	173	204	116
438	172	200	112
442	171	196	108
446	172	193	107
449	174	189	105
453	175	186	104
456	176	182	103
460	177	179	100
460	175	178	101
461	173	177	101
461	170	177	102
462	168	176	103
460	167	177	103
459	167	179	103
457	166	180	103
456	165	181	104
454	162	182	107
453	159	184	110
451	155	185	113
450	153	187	108
448	151	190	104
447	144	191	104
445	138	192	105
445	135	191	107
446	132	190	110
446	129	190	113
443	127	192	116
440	124	195	119
436	121	197	122
440	124	183	120
431	126	181	118
423	128	179	117
414	130	176	115
405	132	174	114
397	134	172	112
388	136	170	111
379	139	168	110
371	141	166	108
359	142	167	108
347	143	168	107
335	144	169	107
323	145	170	106
315	146	172	105
307	147	175	105
301	147	173	105
295	147	172	105
289	147	170	105
283	147	168	105
277	147	166	105
277	147	163	105
276	147	160	105
275	147	157	105
275	147	154	105
275	144	154	105
274	142	154	106
274	140	153	106
276	140	158	104
279	141	163	101
281	144	164	101
284	148	164	101
290	154	162	98
296	160	160	96
302	166	157	93
308	168	155	96
314	169	153	99
320	170	150	102
322	170	151	103
324	169	152	103
326	169	152	104
323	166	150	102
321	163	148	99
318	160	145	97
315	156	143	95
313	153	140	93
310	150	138	91
305	145	137	87
300	139	137	84
296	134	136	80
291	128	133	79
286	123	130	78
281	118	127	77
276	112	134	76
273	112	135	79
270	111	135	81
267	111	136	83
266	114	133	85
264	118	131	88
263	121	128	90
261	124	126	93
260	128	123	95
259	131	120	98
258	136	117	98
257	141	113	99
257	146	109	100
256	150	112	102
256	155	114	103
255	159	117	105
253	161	116	103
250	163	115	101
248	164	114	100
245	166	113	98
243	169	114	97
241	171	114	96
239	173	115	95
237	175	114	94
235	176	112	92
233	178	111	91
231	180	114	87
229	181	117	84
227	182	116	80
224	182	115	76
222	183	114	72
219	184	113	68
220	181	110	68
220	179	108	68
221	176	105	69
221	174	103	69
221	171	100	70
222	168	97	70
222	166	96	71
223	163	95	71
223	161	94	71
224	158	93	72
224	155	92	72
224	153	91	73
225	152	90	70
225	152	89	68
225	152	88	66
225	151	87	64
226	151	86	63
226	151	85	63
226	150	84	63
226	150	83	63
227	150	82	63
227	149	81	63
227	149	80	62
227	149	79	62
228	148	78	62
228	148	77	62
228	148	76	62
226	149	76	61
224	151	76	61
222	153	76	61
219	154	76	61
217	156	76	60
215	157	76	60
213	159	76	60
211	160	76	60
209	162	76	59
207	163	76	59
205	165	76	59
202	167	76	59
200	168	76	58
198	170	76	58
196	171	76	58
194	173	76	57
193	174	76	56
191	176	75	54
190	177	75	53
188	179	75	52
187	180	74	51
185	181	74	50
187	182	69	51
188	182	64	52
189	182	58	53
190	182	53	54
192	184	55	53
194	186	57	53
195	188	60	52
197	190	62	51
202	192	60	51
